basin_name,event_type,event_count,mean_response_1_3,median_response_1_3,std_response_1_3,mean_response_4_6,median_response_4_6,std_response_4_6,negative_response_ratio_1_3,negative_response_ratio_4_6
嘉陵江流域,DTF,20,0.361840272093355,0.44974014416595276,0.7196157982275712,0.20106866519512404,0.306764001744664,0.9436313873797666,0.3,0.3
嘉陵江流域,FTD,16,-0.07906483434610859,-0.19624362675319107,0.9556719537912052,-0.16994858872767302,-0.28630478631678224,0.7957876042004135,0.5333333333333333,0.6
嘉陵江流域,drought_hydro,54,-0.01928075785107449,0.017294287811039255,0.7879012157533779,-0.057361779479741054,0.018017751224221557,0.8471678476670615,0.49056603773584906,0.4716981132075472
嘉陵江流域,flood_hydro,60,-0.00833093134271528,-0.06617501461490405,0.783707154263697,0.014500013332725718,0.023896317265755695,0.8356454306081944,0.5254237288135594,0.4915254237288136
汉江流域,DTF,19,0.07029122266178851,0.31309301399508965,0.9371044228363528,-0.05115910551431772,0.2713133990079073,0.9194146282268981,0.47368421052631576,0.3684210526315789
汉江流域,FTD,12,0.04991763017173121,0.03646080716596434,0.6600511020683643,-0.016300172156822435,-0.05665741551111769,0.7305905232624829,0.45454545454545453,0.5454545454545454
汉江流域,drought_hydro,53,-0.17937869887685343,-0.29244394422362724,0.7797297971072298,0.017164078070297753,0.05863726279959536,0.8074947259421028,0.6415094339622641,0.4528301886792453
汉江流域,flood_hydro,64,0.04742825833072137,0.08237188849466265,0.7048218578007618,-0.044262680586875415,-0.02707401805414872,0.7627385746336992,0.43548387096774194,0.5166666666666667
洞庭湖流域,DTF,9,0.17424190111108853,0.19766720495810647,0.6079369499725196,-0.06391390909554698,0.06581394466688928,1.0173860626164577,0.4444444444444444,0.4444444444444444
洞庭湖流域,FTD,18,-0.1007071666526017,-0.0812538330411112,0.5865118444069419,-0.2634868057287293,-0.30256009994689925,1.2040565547344828,0.5555555555555556,0.5555555555555556
洞庭湖流域,drought_hydro,59,-0.021597314169847916,0.11371176624090962,0.8709850489769132,0.06125866994775626,0.06581394466688928,0.790014131486072,0.4915254237288136,0.4576271186440678
洞庭湖流域,flood_hydro,64,0.01967058857599114,-0.027486985241598427,0.72343901496587,-0.058208236816965075,-0.02194152847042259,0.9519022275944853,0.5079365079365079,0.5079365079365079
鄱阳湖流域,DTF,11,-0.17155947724439458,0.04514360942025328,0.7029269304322511,-0.25529069366165374,-0.1521090403081283,0.8304284527780175,0.45454545454545453,0.8181818181818182
鄱阳湖流域,FTD,12,-0.15548179835724088,-0.08303933669183013,0.7708719243800584,-0.05189474810523376,0.021717793976106167,0.9276968415355028,0.6666666666666666,0.5
鄱阳湖流域,drought_hydro,54,-0.09418585237125036,-0.01703512061819208,0.7023036622488605,-0.0061711004614663605,0.05255585280707922,0.6607430204434707,0.5,0.48148148148148145
鄱阳湖流域,flood_hydro,57,0.08240781325209659,-0.09999057139538758,0.8472626384786097,0.0615837537116274,0.043298808656992094,0.8486982787644622,0.5789473684210527,0.48214285714285715
